# Wavelength Transmittance 
# Filter Q 
# lambda eff:20.9mu
# (um)               (%) 
4.2105000E-03        2.8776979E+00
1.4566640E+00        -1.9000000E-06
5.1270002E-03        2.8785260E+00
1.4568770E+00        -9.4999996E-06
5.5796998E-03        2.8793550E+00
1.4570889E+00        -2.6499998E-05
4.8994999E-03        2.8801839E+00
1.4573010E+00        -4.6000001E-05
3.0288999E-03        2.8810141E+00
1.4575130E+00        -5.8699999E-05
5.5649999E-04        2.8818440E+00
1.4577260E+00        -5.8199999E-05
-1.6389000E-03       2.8826749E+00
1.4579380E+00        -4.3199998E-05
-2.9106000E-03       2.8835061E+00
1.4581510E+00        -1.6200000E-05
-3.1540000E-03       2.8843379E+00
1.4583640E+00        1.2600000E-05
-2.7609000E-03       2.8851700E+00
1.4585760E+00        3.1500000E-05
-2.2535000E-03       2.8860030E+00
1.4587890E+00        3.6699999E-05
-1.9735999E-03       2.8868361E+00
1.4590020E+00        3.7700000E-05
-2.0010001E-03       2.8876700E+00
1.4592150E+00        4.8200000E-05
-2.2278000E-03       2.8885040E+00
1.4594280E+00        7.1299997E-05
-2.4498000E-03       2.8893380E+00
1.4596410E+00        9.3499999E-05
-2.3963000E-03       2.8901730E+00
1.4598540E+00        9.5600000E-05
-1.8581999E-03       2.8910091E+00
1.4600670E+00        6.9599999E-05
-8.5160002E-04       2.8918450E+00
1.4602799E+00        2.7399998E-05
3.1060001E-04        2.8926821E+00
1.4604940E+00        -8.0999998E-06
1.1945000E-03        2.8935180E+00
1.4607069E+00        -2.0500000E-05
1.5356999E-03        2.8943560E+00
1.4609200E+00        -1.1399999E-05
1.3535001E-03        2.8951941E+00
1.4611340E+00        6.6999996E-06
8.1419997E-04        2.8960321E+00
1.4613470E+00        2.2400000E-05
1.8069999E-04        2.8968711E+00
1.4615610E+00        3.4099998E-05
-1.5309999E-04       2.8977110E+00
1.4617749E+00        4.6699999E-05
2.5149999E-04        2.8985510E+00
1.4619880E+00        6.3699998E-05
1.5161000E-03        2.8993909E+00
1.4622020E+00        8.1999999E-05
3.2078999E-03        2.9002321E+00
1.4624161E+00        9.3199997E-05
4.5742998E-03        2.9010730E+00
1.4626300E+00        8.9900001E-05
5.0871000E-03        2.9019151E+00
1.4628440E+00        6.8699999E-05
4.8064999E-03        2.9027579E+00
1.4630580E+00        3.3900000E-05
4.2154999E-03        2.9036000E+00
1.4632720E+00        -2.8999998E-06
3.7320000E-03        2.9044440E+00
1.4634860E+00        -2.4600000E-05
3.4308000E-03        2.9052880E+00
1.4637001E+00        -1.9300000E-05
3.2005000E-03        2.9061320E+00
1.4639150E+00        8.0999998E-06
3.0469999E-03        2.9069769E+00
1.4641290E+00        4.0499999E-05
3.1311000E-03        2.9078219E+00
1.4643430E+00        5.8900001E-05
3.5844001E-03        2.9086680E+00
1.4645580E+00        5.3599997E-05
4.2912997E-03        2.9095140E+00
1.4647720E+00        3.4099998E-05
4.8574996E-03        2.9103611E+00
1.4649870E+00        1.7400000E-05
4.8976000E-03        2.9112079E+00
1.4652010E+00        1.5500000E-05
4.3547000E-03        2.9120560E+00
1.4654160E+00        2.9999999E-05
